video_name, What is in this video?, What is the person doing?, What are the people doing in the background?, Are people in the video focused or distracted?, Can you tell the mood of the person in the video?, Can you identify objects in the video?, Is anyone holding any object, what are they holding?, Are there any safety hazards in the place?, Can you tell the profession of people in the video?
6xR3o-ZxB2Q_000051_000061.mp4, ["In the video a person is seen adjusting a blue and white tie around their neck. They are wearing a black shirt and a black jacket. The person's hands are visible as they make adjustments to the tie."], ['The person is tying a tie.'], ['There are no people in the background of the image.'], ['The people in the video are focused on the task of tying a tie.'], ['The person in the video appears to be in a relaxed and casual mood.'], ['Yes the video shows a person wearing a black jacket and a blue tie.'], ['Yes the person in the image is holding a tie.'], ['There is no indication of any safety hazards in the image.'], ['There is no indication of the profession of the people in the video.']
7rwTXGM4u_g_000056_000066.mp4, ["The video shows a person playing a piano. The camera is positioned close to the piano keys capturing the person's hand as they press down on the keys. The person is wearing a red shirt and a blue sweater. The piano appears to be an upright piano and the setting seems to be indoors."], ['The person is playing a piano.'], ['The people in the background are playing a piano.'], ['The people in the video appear to be focused on playing the piano.'], ['The person in the video appears to be in a relaxed and comfortable mood. They are sitting on a chair and playing the piano which suggests that they are enjoying themselves and possibly practicing or performing a piece of music.'], ['Yes the video shows a piano with a person playing it.'], ['Yes the person in the video is holding a microphone.'], ['The image shows a person playing a piano. There are no visible safety hazards in the image. However it is important to ensure that the piano is in good condition and that the person playing it is wearing appropriate footwear to avoid slipping on the floor. Additionally it is recommended to keep the area around the piano clear of clutter to prevent tripping hazards.'], ['The video does not provide any information about the professions of the people.']
4agwosTSlUs_000114_000124.mp4, ['This video shows a group of people marching down a street while playing instruments.'], ['The person is holding a flag and walking in front of a marching band.'], ['The people in the background are sitting on chairs and watching the performance.'], ['The video shows people in the crowd watching the marching band and the man carrying the flag. It is not clear whether they are focused or distracted.'], ['The person in the video appears to be happy and excited as they are seen smiling and waving their hands in the air.'], ['Yes the video shows a group of people walking down a street a man holding a flag a man in a yellow and black striped shirt and a man in a white shirt.'], ['Yes a man is holding a flag.'], ['Yes there is a safety hazard in the place. A person is seen walking with a large kite which could pose a risk of injury if it were to accidentally hit someone or if it were to get caught in a tree.'], ['The video does not provide any information about the professions of the people in the video.']
4X3aOjNCbDw_000012_000022.mp4, ['The video shows a man kicking a football on a field.'], ['The person is kicking a football.'], ['The people in the background are playing soccer.'], ['The people in the video are focused on the man kicking the ball.'], ['The person in the video appears to be happy and excited as they kick the ball and watch it fly through the air.'], ['Yes the video shows a man wearing a black shirt and red shorts standing on a field. He kicks a football with his right foot and then turns around to face the camera.'], ['Yes the man is holding a football.'], ['Yes there are safety hazards in the place. The man is standing on a field with a ball and there are people playing soccer in the background. This could potentially lead to accidents if the man were to accidentally hit someone with the ball.'], ['The video does not provide any information about the professions of the people in the video.']
-Do5IIMfqQM_000102_000112.mp4, ['The video shows a bird flying in the air.'], ['The person is holding a sparkler and waving it around.'], ['The people in the background are standing and watching the fireworks.'], ['The video does not provide any information about the focus or distraction of the people in the video.'], ['The person in the video appears to be having a good time as they are seen flying a kite and enjoying the outdoors.'], ['Yes the video shows a bird flying in the air a sparkler being lit and a person holding a sparkler.'], ['Yes there is a person holding a sparkler in the video.'], ['There is no existence of any safety hazards in the image.'], ['The video does not provide any information about the profession of the people in the video.']
CzSf9hmZnhU_000080_000090.mp4, ['This video shows a man playing a guitar and another man playing a trumpet.'], ['The person is playing a guitar.'], ['The people in the background are playing instruments.'], ['The people in the video are focused on playing their instruments and enjoying the music.'], ['The person in the video appears to be happy and enjoying the music.'], ['Yes the video shows a man playing a guitar and another man playing a trumpet.'], ['Yes there is a person holding a guitar.'], ['There is no indication of any safety hazards in the video.'], ['The video shows a man playing the guitar and another man playing the trumpet. It is not possible to determine their profession from the video alone.']
7G7wL7_JY8A_000040_000050.mp4, ['In this video we see a man cleaning a hospital floor with a mop. He is using a mop bucket to clean the floor and then steps on the mop to clean the floor.'], ['The person is cleaning the floor with a mop.'], ['The people in the background are cleaning the floor with a mop.'], ['The video shows people in the room focused on their tasks with one person mopping the floor and another person standing in the room.'], ['The person in the video appears to be in a positive mood as they are dancing while cleaning the floor.'], ['Yes the video shows a mop and a bucket.'], ['Yes a man is holding a mop and a bucket.'], ['Yes there is a caution sign on the floor in the video.'], ['Yes the video shows a man in a medical office who is cleaning the floor with a mop and a bucket.']
3obR86zvVDU_000003_000013.mp4, ['The video shows a group of people gathered on a field with a man in a red shirt and blue shorts standing in front of a white board.'], ['The person is bending over a white board.'], ['The people in the background are sitting at tables and watching the race.'], ['The video shows people in the background looking at the camera which suggests that they are distracted.'], ['The person in the video appears to be having a good time and enjoying the outdoor activities.'], ['Yes the video shows a frisbee a white board and a white line on the grass.'], ['Yes a man is holding a frisbee in the video.'], ['Yes there is a safety hazard in the place. A man is standing in front of a white fence which could potentially cause harm if someone were to accidentally bump into it.'], ['The video does not provide any information about the professions of the people in the video.']
7miBIgolMFw_000012_000022.mp4, ['In this video a young boy is seen walking down a dirt road. He is carrying a green bucket and appears to be walking towards a blue chair.'], ['The person is walking down a dirt road.'], ['The people in the background are walking down the street.'], ['The video shows people walking and playing in the park indicating that they are focused on their activities.'], ['The person in the video appears to be happy and carefree as they are seen running around with a bucket and playing with a dog.'], ['Yes the video shows a child holding a green bucket and a blue bucket a blue bicycle a green plant and a green tree.'], ['Yes a boy is holding a green bucket.'], ["Yes there is a safety hazard in the place. The boy is walking on a dirt path which can be slippery and uneven especially if it's wet or if there are rocks or debris on the ground. Additionally the boy is carrying a large bucket which could be heavy and difficult to control especially if he is not used to carrying it."], ['The video does not provide any information about the profession of the people in the video.']
9qsOUGfdHww_000012_000022.mp4, ['The video shows a person standing on a stage performing a magic trick. The individual is holding a card and appears to be engaging with the audience. The background includes a red curtain and a stool.'], ['The person is standing on a stage and appears to be performing or speaking to an audience. They are holding a microphone and gesturing with their hands.'], ['The people in the background are watching the performance.'], ['The people in the video appear to be distracted as they are looking in different directions and not paying attention to the man on stage.'], ['The person in the video appears to be in a positive mood as they are smiling and clapping their hands.'], ['Yes the video shows a man standing on a stage in front of a crowd. He is wearing a black shirt and holding a microphone. There is a red curtain behind him and a stool on the stage.'], ['Yes the person on stage is holding a microphone.'], ['There is no existence of any safety hazards in the image.'], ['The video shows a man performing on stage but it does not provide enough information to determine his profession.']
95ZiAIk9Lw8_000003_000013.mp4, ['This video shows a man lying on a bench and lifting a barbell.'], ['The person is lifting a barbell on a bench.'], ['The video does not provide any information about what the people in the background are doing.'], ['The video shows people focused on their workout routines with no indication of distraction.'], ['The person in the video appears to be focused and determined as they lift the weights.'], ['Yes the video shows a man lying on a bench and lifting a barbell.'], ['Yes the man in the video is holding a barbell.'], ['Yes there is a safety hazard in the place. The man is lying on a bench with a barbell on his chest which is not a safe position for lifting weights.'], ['The video does not provide any information about the profession of the people in the video.']
CZP_W4J-Rac_000008_000018.mp4, ['This video shows a baby girl jumping on a bed.'], ['The person is jumping on the bed.'], ['The people in the background are not visible in the video.'], ['The video shows people in different positions and activities but it is not clear if they are focused or distracted.'], ['The person in the video appears to be happy and playful as they are jumping on the bed and laughing.'], ['Yes the video shows a bed with a white frame and a white blanket. There is also a white pillow on the bed.'], ['Yes the child is holding a stuffed animal in their hand.'], ['Yes there is a safety hazard in the place. The bed is not a safe place for a child to sleep as it is too high and the child could fall out. Additionally the bed is not a safe place for a child to play as it is too high and the child could fall out.'], ['There is no indication of the profession of the people in the video.']
9lZtztnaLyc_000013_000023.mp4, ['The video shows a cluttered workspace with various electronic components and tools. A person is holding a remote control and pointing it towards a device which emits a bright light. The workspace includes a laptop a multimeter a soldering iron and other electronic devices. The scene suggests a DIY or electronics repair setting.'], ['The person is holding a remote control and pressing a button on it.'], ['The people in the background are working on various electronic devices and circuits. They are using tools such as soldering irons pliers and other equipment to repair and modify the devices.'], ['The video shows people working on various electronic devices and equipment which suggests that they are focused on their tasks.'], ['The person in the video appears to be in a hurry and is trying to complete a task quickly.'], ['Yes the video shows a cluttered desk with various objects such as a remote control a multimeter a laptop a power strip a microphone a lamp and a cup.'], ['Yes the person is holding a remote control.'], ['Yes there are safety hazards in the place. The image shows a cluttered workspace with various electronic components wires and power strips. The presence of multiple power strips and wires can create a risk of electrical hazards such as short circuits or electrical fires. Additionally the cluttered environment can make it difficult to navigate and could lead to accidental injuries. It is important to maintain a clean and organized workspace to minimize these risks.'], ['The video shows people working on electronic devices and circuits which suggests that they are likely engineers or technicians.']
6g-NlBS82m4_000311_000321.mp4, ['This video shows a man playing the drums in a room with a crowd of people sitting in the background. The man is wearing headphones and playing a set of drums with cymbals.'], ['The person is playing the drums.'], ['The people in the background are sitting on chairs and watching the man play the drums.'], ['The people in the video are focused on the performance as they are watching the drummer play the drums.'], ['The person in the video appears to be focused and engaged in playing the drums.'], ['Yes the video shows a man playing the drums in a room. There are also other people in the room including a woman sitting on a chair and a man standing in front of a laptop.'], ['Yes there is a person holding a paper in the video.'], ['There is no indication of any safety hazards in the video.'], ['The video does not provide any information about the professions of the people in the video.']
0-DC05gGzaI_000002_000012.mp4, ['The video shows a man in a blue shirt standing inside a vehicle. He is holding a cup and appears to be talking to someone.'], ['The person is standing inside a vehicle and looking out the window.'], ['The people in the background are sitting in a car.'], ['The people in the video appear to be distracted as they are looking out of the window and not paying attention to the surroundings.'], ['The person in the video appears to be in a relaxed and comfortable mood as they are seen sitting in a car and enjoying the view.'], ['Yes the video shows a man wearing a blue shirt and a woman wearing a blue shirt. There is also a window in the background.'], ['Yes a man is holding a bottle in the video.'], ['Yes there is a safety hazard in the place. The man is standing on a ladder which is a potential hazard if he falls.'], ['The video does not provide any information about the profession of the people.']
Ay6eq4x-esU_000008_000018.mp4, ['The video shows a cymbal being played with a drumstick.'], ['The person is playing the drums.'], ['The people in the background are playing the drums.'], ['The video does not provide any information about the focus or distraction of the people in the video.'], ['The video does not provide any information about the mood of the person.'], ['Yes the video shows a silver drum being played with a drumstick.'], ['Yes a person is holding a drumstick in the video.'], ['There is no indication of any safety hazards in the video.'], ['The video does not provide any information about the profession of the people in the video.']
7Mm-znZq9HM_000173_000183.mp4, ['This video captures a moment from an ice hockey game. The players are wearing jerseys with the Red Bull logo indicating that they are part of a team sponsored by Red Bull. The game appears to be competitive with players actively engaged in the sport. The video also shows a player scoring a goal which is a significant moment in the game.'], ['The person is playing hockey.'], ['The people in the background are watching the game.'], ['The video shows people in the stands watching the game but it is not clear whether they are focused or distracted.'], ['The person in the video appears to be happy and excited as they are smiling and clapping.'], ['Yes the video shows a hockey game in progress. The players are wearing jerseys with the Red Bull logo and the game is being played on an ice rink.'], ['Yes there is a person holding a hockey stick.'], ['Yes there are safety hazards in the place. The players are wearing helmets and protective gear which is necessary to prevent injuries during the game. Additionally the players are on an ice rink which can be slippery and potentially dangerous.'], ['The people in the video are playing ice hockey.']
6LrGsHMT2wM_000002_000012.mp4, ['The video shows a person playing the piano in a living room.'], ['The person is playing the piano.'], ['The people in the background are playing the piano.'], ['The video shows people playing the piano in a focused manner with no indication of distraction.'], ['The person in the video appears to be relaxed and enjoying the music.'], ['Yes the video shows a piano with a person playing it. There is also a chair visible in the background.'], ['Yes a person is holding a glass of water while playing the piano.'], ['There is no existence of any safety hazards in the video.'], ['The video does not provide any information about the professions of the people playing the piano.']
4s80_nGVW7c_000038_000048.mp4, ['This video shows two people playing tennis on a court. They are holding tennis rackets and appear to be hitting the ball back and forth over the net. The court is surrounded by a fence and there are trees and buildings visible in the background.'], ['The person is playing tennis. They are holding a tennis racket and appear to be hitting the ball across the court.'], ['The people in the background are playing tennis.'], ['The people in the video are focused on playing tennis.'], ['The person in the video appears to be in a relaxed and casual mood as they are playing tennis on a sunny day.'], ['Yes the video shows two people playing tennis on a court.'], ['Yes both individuals are holding tennis rackets.'], ['Yes there is a safety hazard in the place. The tennis court is located near a road and there is a car driving by. This can pose a risk to the players if the car were to accidentally hit the tennis ball or if the players were to be distracted by the traffic. It is important for the players to be aware of their surroundings and to take necessary precautions to avoid any accidents.'], ['The video shows two people playing tennis on a court. One person is wearing a white shirt and black shorts while the other is wearing a white shirt and white shorts. There is no indication in the video that either person is a professional tennis player.']
1yUEM9Cxe_I_000267_000277.mp4, ['This video shows a man breakdancing in a room. He performs various moves including a flip and then walks away.'], ['The person is dancing in a room.'], ['The people in the background are walking around.'], ['The video shows people watching the man dance indicating that they are focused on his performance.'], ['The person in the video appears to be having fun and enjoying themselves while dancing.'], ['Yes the video shows a man wearing a black shirt and black pants performing a dance routine in a room with a wooden floor. There is also a woman sitting on a chair in the background.'], ['Yes a woman is holding a black bag while the man is dancing.'], ['Yes there is a fire extinguisher on the wall in the background.'], ['The video does not provide any information about the professions of the people in the video.']
7ujMWPl8ELM_000004_000014.mp4, ['This video shows a man standing on a concrete circle and spinning around. He then throws an object off into the distance.'], ['The person is throwing a discus.'], ['There are two people in the background of the video. One person is standing on the grass and the other person is walking on the grass.'], ['The video shows people focused on their activities such as playing frisbee and throwing a discus.'], ['The person in the video appears to be focused and determined as they throw the discus.'], ['Yes the video shows a man wearing a black shirt and shorts throwing a discus. There is also a red car parked in the background.'], ['Yes the man is holding a discus.'], ['Yes there is a red car parked in the background of the video.'], ['The video does not provide any information about the profession of the people in the video.']
-7zwbDtxAog_000016_000026.mp4, ['This video shows a weightlifter lifting a barbell over his head and dropping it on the ground.'], ['The person is lifting a barbell over their head.'], ['The people in the background are watching the weightlifting event.'], ['The video shows people in the gym focused on the weightlifting activity.'], ['The person in the video appears to be focused and determined as they are lifting the barbell with great effort.'], ['Yes the video shows a man lifting a barbell and throwing it down. There is also a poster on the wall with the words "USA Weightlifting" and a flag.'], ['Yes a man is holding a barbell in the video.'], ["Yes there are safety hazards in the place. The man is lifting a heavy weight over his head which can be dangerous if he loses control of the weight. Additionally there are other people in the room who are not paying attention to the man's activity which could lead to accidents if they accidentally bump into him or the weight."], ['The video shows a weightlifter and a man lifting weights in a gym. It is not clear from the video whether the man lifting weights is a professional weightlifter or not.']
A12Aoma5VPo_000062_000072.mp4, ['This video shows a man and a woman dancing on a stage in front of a crowd. The man lifts the woman up and spins her around before dropping her to the ground.'], ['The person is dancing on a stage.'], ['The people in the background are watching the couple dance.'], ['The video shows that people are focused on the dance performance.'], ['The person in the video appears to be enjoying themselves and having a good time.'], ['Yes the video shows a man and a woman dancing on a stage in front of a crowd. The man is wearing a suit and the woman is wearing a dress.'], ['Yes there is a person holding a camera in the video.'], ['Yes there is a safety hazard in the place. A light is shining directly into the camera which could cause glare and make it difficult to see the dancers.'], ['The video does not provide any information about the professions of the people in the video.']
06ON1-8oHTc_000130_000140.mp4, ['This video shows a group of people riding on the back of an elephant. The elephant is walking on a grassy field and there are some buildings and trees in the background.'], ['The person is riding an elephant.'], ['The people in the background are riding on the back of an elephant.'], ["The video shows people in the background looking at the camera which suggests that they are distracted by the camera's presence."], ['The person in the video appears to be happy and excited as they are riding an elephant and smiling.'], ['Yes the video shows a group of people riding on the back of an elephant.'], ['Yes a man is holding a cell phone in the video.'], ['Yes there are safety hazards in the place. The video shows a man riding an elephant which is a dangerous activity as elephants can be unpredictable and may cause injuries to the rider. Additionally the video shows a woman riding a horse which is also a potentially dangerous activity as horses can also be unpredictable and may cause injuries to the rider.'], ['The video does not provide any information about the profession of the people in the video.']
Am7BoZM1VwQ_000070_000080.mp4, ['The video shows a man in a suit and tie standing behind a counter putting bread into a blue container. There are also people standing behind him and a woman in a purple dress is seen.'], ['The person is standing behind a counter and putting bread into a blue container.'], ['The people in the background are standing behind the counter and preparing food.'], ['The people in the video are focused on their tasks as they are seen working on various tasks such as cutting bread making sandwiches and preparing food.'], ['The person in the video appears to be focused and engaged in their task as they are seen cutting bread and handling various objects on a table.'], ['Yes the video shows a man in a suit and tie holding a cell phone a person holding a piece of bread and a person holding a book.'], ['Yes a man is holding a cell phone in his hand.'], ['Yes there is a safety hazard in the place. A man is seen cutting bread on a table and there is a knife nearby. This could potentially cause injury if not handled properly.'], ['The video shows a man in a suit and tie a man in a suit and tie with a tie and a man in a suit and tie with a tie. However it is not clear what profession they are in.']
5XtiZXdCc7k_000094_000104.mp4, ["This video shows a skier racing down a snowy slope. The skier is navigating through a course marked by red and blue lines and there are spectators watching from the sidelines. The video captures the skier's speed and agility as they make their way down the slope."], ['The person is skiing down a snowy slope.'], ['The people in the background are standing behind a fence.'], ['The people in the video are focused on skiing down the slope.'], ['The person in the video appears to be enjoying the activity and having fun.'], ['Yes the video shows a person skiing down a snowy hill.'], ['Yes the person is holding a ski pole in each hand.'], ['Yes there are safety hazards in the place. The image shows a person skiing down a steep slope which can be dangerous due to the high speed and the risk of falling. Additionally there are red cones on the slope which could pose a risk if the skier were to collide with them.'], ['Yes the people in the video are skiing.']
7fe1LB3jXZs_000000_000010.mp4, ['The video shows a man wearing boxing gloves hitting a punching bag in a gym.'], ['The person is boxing a punching bag.'], ['The people in the background are sitting on chairs and watching the man boxing.'], ['The video shows people focused on their activities such as boxing and playing basketball.'], ['The person in the video appears to be focused and determined as they continue to punch the bag.'], ['Yes the video shows a man wearing boxing gloves hitting a punching bag in a gym. There is also a chair visible in the background.'], ['Yes a man is holding a black bag in the video.'], ['Yes there is a fire extinguisher on the wall in the background.'], ['The video does not provide any information about the profession of the people in the video.']
CzgsPydgi4g_000093_000103.mp4, ['The video shows a man performing a card trick. He is seen holding a deck of cards and then showing a card to the camera.'], ['The person is performing a card trick.'], ['The people in the background are playing cards.'], ['The video shows people being focused on the card tricks being performed.'], ['The video does not provide any information about the mood of the person.'], ['Yes the video shows a man holding playing cards and a watch.'], ['Yes the person is holding a card.'], ['There is no indication of any safety hazards in the video.'], ['The video does not provide any information about the profession of the people in the video.']
6SH0fqR6QNQ_000002_000012.mp4, ['This video features a group of cheerleaders performing a routine on stage. They are dressed in green outfits and are seen dancing and flipping around each other. The video also includes the text "Cheerleader PSP Game #37 PSP Media Film" displayed on the screen.'], ['The person is dancing on stage.'], ['The people in the background are dancing.'], ["The people in the video are focused on the cheerleaders' performance."], ['The person in the video appears to be happy and enjoying the performance.'], ['Yes the video shows a group of people performing a dance routine on a stage. There are also some speakers and a keyboard visible in the background.'], ['Yes there is a person holding a green umbrella.'], ['Yes there is a safety hazard in the place. A person is seen running in front of the cheerleaders which could potentially disrupt their performance or cause injury to the performers.'], ['Yes the people in the video are cheerleaders.']
Ci-76pwC0zg_000001_000011.mp4, ['The video shows a boy playing basketball in front of a house. He is seen throwing the ball into the hoop and then catching it.'], ['The person is playing basketball.'], ['The people in the background are playing basketball.'], ['The people in the video are focused on playing basketball.'], ['The person in the video appears to be having a good time playing basketball.'], ['Yes the video shows a basketball hoop a basketball a white car a white house a white fence a white wall a white door a white window a white trash can a white trash bag a white trash can lid a white trash can handle a white trash can base a white trash can top a white trash can side a white trash can front a white trash can back a white trash can door a white trash can window a white trash can frame a white trash can panel a white trash can panel a white trash can panel a white trash can'], ['Yes the person in the video is holding a basketball.'], ['Yes there is a safety hazard in the place. The basketball hoop is located in front of a house and there is a car parked in front of the house. The car is not far from the basketball hoop which could pose a risk if the ball were to accidentally hit the car. Additionally the basketball hoop is not far from the house which could pose a risk if the ball were to accidentally hit the house or its occupants.'], ['The video does not provide any information about the professions of the people in the video.']
BcSsOQrkcLw_000344_000354.mp4, ['The video shows a group of people riding horses down a dirt road.'], ['The person is riding a horse.'], ['The people in the background are standing around a tree.'], ['The video does not provide any information about whether people are focused or distracted.'], ['The person in the video appears to be happy and enjoying the outdoor activities.'], ['Yes the video shows a group of people riding horses down a dirt road. There are also trees and rocks visible in the background.'], ['Yes a man is holding a camera while riding a horse.'], ['Yes there is a safety hazard in the place. A man is standing on a tree branch which could be dangerous if he falls.'], ['The video does not provide any information about the profession of the people in the video.']
D76hGnPZwhk_000002_000012.mp4, ['This video shows a group of people engaged in snowkiting a winter sport that combines elements of kite flying and snowboarding or skiing. The individuals are seen standing on a snowy surface controlling kites that are flying in the sky. The kites are attached to the riders allowing them to glide across the snow. The video captures the dynamic movement and excitement of snowkiting in a winter setting.'], ['The person is flying a kite.'], ['The people in the background are flying kites.'], ['The people in the video are focused on their activity as they are seen flying kites and snowboarding.'], ['The person in the video appears to be enjoying the activity and having fun.'], ['Yes the video shows a kite flying in the sky a person standing on the snow and a snowboarder riding down a snowy slope.'], ['Yes there is a person holding a kite.'], ['Yes there are safety hazards in the place. The video shows people flying kites in a snowy area which can be dangerous due to the slippery and uneven terrain. Additionally the presence of snow and ice can make it difficult to control the kites and increase the risk of accidents. It is important to be cautious and take necessary precautions when engaging in such activities in snowy areas.'], ['The video shows people engaged in kite surfing which is a recreational activity.']
3cg-xkYTAK4_000202_000212.mp4, ['The video shows a woman with long hair that is braided into two braids. She is seen smiling and looking at the camera.'], ['The person is brushing their hair.'], ['The people in the background are standing in front of a white wall.'], ['The video shows people looking at their hair which suggests that they are focused on their appearance.'], ['The person in the video appears to be in a happy mood.'], ['Yes the video shows a woman with long hair a vase with flowers and a pink flower arrangement.'], ['Yes the person is holding a hair extension.'], ['There is no indication of any safety hazards in the image.'], ['The video does not provide any information about the professions of the people in the video.']
9lB2p_YIEhM_000018_000028.mp4, ['In the video a young girl is seen interacting with a bookshelf. She is holding a book and appears to be reading or looking at it. The girl then walks away from the bookshelf and returns smiling at the camera.'], ['The person is standing in front of a bookshelf.'], ['The people in the background are standing and walking around.'], ['The video shows people in a library some of whom are focused on reading books while others are distracted by their surroundings.'], ['The person in the video appears to be happy and excited as they are smiling and laughing while interacting with the books.'], ['Yes the video shows a girl in a red dress standing in front of a bookshelf. She is holding a book and appears to be reading it. There is also a poster on the bookshelf with a picture of a horse and a person.'], ['Yes the girl is holding a black object which appears to be a toy or a small electronic device.'], ['Yes there is a safety hazard in the place. The child is holding a toy gun which could potentially be a safety concern if it is not handled properly. Additionally the child is playing with a toy in a library which may not be appropriate or safe for the environment.'], ['No the video does not provide any information about the professions of the people in the video.']
1exarhq0Tlg_000010_000020.mp4, ['The video shows a baby sitting on the floor surrounded by wrapped presents and books. The baby is holding a toy and appears to be opening it. The setting seems to be a cozy indoor environment possibly a living room with a bookshelf and a television in the background. The baby is wearing a blue jacket and red pants.'], ['The person is sitting on the floor and holding a toy.'], ['The people in the background are sitting on the floor watching the baby.'], ['The video shows a baby sitting on the floor holding a toy and looking at it. The baby appears to be focused on the toy.'], ['The person in the video appears to be happy and excited as they are sitting on the floor with a wrapped present and a toy.'], ['Yes the video shows a baby sitting on the floor with a toy in its hands. There are also several wrapped presents and books scattered around the baby.'], ['Yes the baby is holding a toy.'], ['There is no existence of any safety hazards in the image.'], ['There is no indication of the profession of the people in the video.']
CB4tT2kxYB8_000000_000010.mp4, ['The video shows a person sitting at a table holding a green bottle. The background includes a framed picture with Arabic text and a ceiling with visible air vents.'], ['The person in the picture appears to be adjusting or holding something near their face possibly a camera or a device. The background shows a framed picture or poster with Arabic text.'], ['There are no people visible in the background of the image.'], ['The people in the video appear to be focused on their tasks.'], ['The person in the video appears to be in a relaxed and casual mood. They are sitting down possibly in a room or office and seem to be engaged in a conversation or activity. The setting and body language suggest a comfortable and informal environment.'], ['Yes in the video there is a person wearing a black and white shirt. There is also a green cup visible on the right side of the frame.'], ['Yes the person in the picture is holding a green bottle.'], ["The image shows a person exercising on a treadmill. There are no visible safety hazards in the immediate vicinity of the treadmill. However it is important to ensure that the area around the treadmill is clear of any obstacles or hazards that could cause tripping or accidents. Additionally it is recommended to follow the manufacturer's safety guidelines and ensure that the treadmill is used properly to minimize the risk of injury."], ['The video does not provide enough information to determine the professions of the people.']
4Sr9NDLvdv8_000157_000167.mp4, ['This video shows a person checking the oil level in a car engine. The person is using a dipstick to check the oil level and then wiping it clean with a rag.'], ['The person is cleaning the dipstick with a rag.'], ['The people in the background are standing and talking.'], ['The people in the video are focused on the task at hand which is checking the oil level in the engine.'], ['The person in the video appears to be calm and focused on the task at hand.'], ['Yes the video shows a car engine with a dipstick and a towel.'], ['Yes the person is holding a stick.'], ['Yes there is a safety hazard in the place. The person is holding a metal rod which could potentially cause a short circuit or electrical hazard if it comes into contact with the engine or other electrical components. Additionally the person is wearing a glove which could potentially cause a slip or fall if it gets caught on something.'], ['Yes the people in the video are likely mechanics or car enthusiasts.']
BDFR1EfU4kU_000001_000011.mp4, ['In the video a woman is holding a baby in front of a table with a cake and other decorations. The table is decorated with pink and white flowers and there is a sign with the letter "S" on it. The woman is holding the baby up to the cake and the baby is looking at the cake.'], ['The person is holding a baby.'], ['The people in the background are standing around a table.'], ['The people in the video are focused on the baby and the cake.'], ['The person in the video appears to be happy and excited as they are holding a baby and smiling.'], ['Yes the video shows a table with a cake and a woman holding a baby.'], ['Yes a woman is holding a cake.'], ['There is no existence of any safety hazards in the video.'], ['There is no information about the profession of people in the video.']
7qlBxwh4avc_000008_000018.mp4, ['In the video a man is performing a pull-up exercise in a gym. He is hanging from a bar and lifting himself up. The gym has a boxing ring and there are various boxing equipment and posters on the walls. The man appears to be wearing a white tank top and gray sweatpants.'], ['The person is performing a pull-up exercise on a horizontal bar.'], ['The people in the background are not clearly visible but they appear to be engaged in various activities. Some are standing near the boxing ring while others are sitting or standing in the gym. The gym seems to be a busy place with multiple people present.'], ['The people in the video are focused on their workout routine.'], ['The person in the video appears to be focused and determined as they are performing a pull-up exercise in a gym setting.'], ['Yes the video shows a man performing a pull-up exercise in a gym. There is a boxing ring visible in the background and various pieces of equipment and posters are hanging on the walls.'], ['Yes the person in the video is holding a basketball.'], ['There is no existence of any safety hazards in the image.'], ['Yes the people in the video are engaged in physical activities likely related to sports or fitness.']
0UAl2ujGgSQ_000136_000146.mp4, ['In the video a person is seen putting clothes into a washing machine.'], ['The person is putting clothes into a washing machine.'], ['The people in the background are washing clothes in a washing machine.'], ['The video shows people focused on their tasks such as loading clothes into a washing machine and using a vacuum cleaner.'], ['The person in the video appears to be in a relaxed and casual mood as they are wearing a red shirt and are seen smiling while putting clothes into the washing machine.'], ['Yes the video shows a person putting clothes into a washing machine. The washing machine is white and has a control panel with buttons and a display screen. The person is wearing a red shirt and is holding a red towel and a blue towel. The video also shows a green object on top of the washing machine.'], ['Yes the person is holding a red cloth.'], ['Yes there is a potential safety hazard in the video. The person is seen putting a red cloth into a washing machine which could lead to a risk of injury if the machine is turned on while the cloth is still inside. Additionally the person is not wearing any protective gear which could increase the risk of injury.'], ['No the video does not provide any information about the profession of the people.']
-uTaTugvUfc_000068_000078.mp4, ["In the video a man is playing an acoustic guitar. He is strumming the guitar with his right hand while using his left hand to press down on the strings. The video shows the man's hands and the guitar with a focus on the guitar's fretboard and strings."], ['The person is playing the guitar.'], ['The people in the background are playing the guitar.'], ['The people in the video are focused on playing the guitar and enjoying the music.'], ['The person in the video appears to be relaxed and enjoying the music.'], ['Yes the video shows a man playing an acoustic guitar.'], ['Yes the person is holding a guitar.'], ['There is no existence of any safety hazards in the video.'], ['The video shows a man playing the guitar and a woman playing the guitar. However there is no information about their professions in the video.']
1cSnfV1yNSQ_000004_000014.mp4, ['The video shows a group of people gathered around a stage. One man is bending over and another man is standing behind him. The man in front is wearing a red shirt and the man behind him is wearing a black shirt.'], ['The person is standing on a stage.'], ['The people in the background are standing and watching the wrestling match.'], ['The video shows people in the audience watching the wrestling match. It is not clear whether they are focused or distracted.'], ['The person in the video appears to be in a happy mood as they are smiling and laughing while holding a microphone.'], ['Yes the video shows a man in a red shirt and a man in a black shirt. There is also a person in a yellow shirt and a person in a red shirt. Additionally there is a person in a red shirt and a person in a black shirt standing on a stage.'], ['Yes there is a person holding a microphone.'], ['Yes there is a safety hazard in the place. The video shows a man standing on a ladder which is a potential safety hazard.'], ['The video shows a group of people gathered around a stage but it is not clear what profession they are engaged in.']
